ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services*,"Sales of goods and services* , quality indicator","Sales of goods and services* , first quartile","Sales of goods and services* , second quartile","Sales of goods and services* , third quartile","Sales of goods and services* , fourth quartile","Sales of goods and services*  , percent of businesses reporting",All other revenues*,"All other revenues* , quality indicator","All other revenues* , first quartile","All other revenues* , second quartile","All other revenues* , third quartile","All other revenues* , fourth quartile","All other revenues* , percent of businesses reporting",Sales of goods and services* ( percent of total revenue),"Sales of goods and services* ( percent of total revenue), quality indicator","Sales of goods and services* ( percent of total revenue), first quartile","Sales of goods and services* ( percent of total revenue), second quartile","Sales of goods and services* ( percent of total revenue), third quartile","Sales of goods and services* ( percent of total revenue), fourth quartile",All other revenues* ( percent of total revenue),"All other revenues* ( percent of total revenue), quality indicator","All other revenues* ( percent of total revenue), first quartile","All other revenues* ( percent of total revenue), second quartile","All other revenues* ( percent of total revenue), third quartile","All other revenues* ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,All industries,13,New Brunswick,2,Urban,1,Unincorporated,2018,5767,30,5000,30,44,44,70,70,135,135,5000,120.6,A,36.2,55.1,97.9,293.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
35,0,All industries,13,New Brunswick,2,Urban,2,Incorporated,2018,12036,30,5000,30,125,125,305,305,713,713,5000,627.6,A,73.4,206.3,478,1752.8,559.2,A,53.4,171,425.3,1587.3,87.4,68.4,B,20,35.3,52.7,165.5,44.5,89.1,A,72.7,82.9,89,90.6,10.9,B,27.3,17.1,11,9.4
36,0,All industries,13,New Brunswick,2,Urban,3,All businesses,2018,17803,30,5000,30,72,72,179,179,488,488,5000,463.4,A,47.6,117.1,303.7,1385.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
37,0,All industries,24,Québec,1,Rural,1,Unincorporated,2018,26029,30,5000,30,42,42,61,61,123,123,5000,121.6,A,35.7,50.9,85.3,314.7,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
38,0,All industries,24,Québec,1,Rural,2,Incorporated,2018,51266,30,5000,30,116,116,287,287,698,698,5000,597.7,A,68.4,191.6,456.4,1674.5,547.2,A,50.2,162.6,412.7,1563.4,90,50.5,A,18.3,29,43.7,111,50.6,91.6,A,73.3,84.9,90.4,93.4,8.4,A,26.7,15.1,9.6,6.6
39,0,All industries,24,Québec,1,Rural,3,All businesses,2018,77295,30,5000,30,63,63,163,163,464,464,5000,437.4,A,44.4,104.4,282.6,1318.3,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
40,0,All industries,24,Québec,2,Urban,1,Unincorporated,2018,140414,30,5000,30,40,40,56,56,103,103,5000,112.2,A,34.6,47.6,74.6,292.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
41,0,All industries,24,Québec,2,Urban,2,Incorporated,2018,206734,30,5000,30,107,107,257,257,661,661,5000,584.5,A,65.1,171.4,421.5,1679.9,512.6,A,48.8,139.7,360.9,1500.9,86.3,71.9,A,16.4,31.7,60.6,179,41.7,87.7,A,74.9,81.5,85.6,89.3,12.3,A,25.1,18.5,14.4,10.7
42,0,All industries,24,Québec,2,Urban,3,All businesses,2018,347148,30,5000,30,54,54,126,126,384,384,5000,393.5,A,40.8,83.4,224.2,1225.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
43,0,All industries,35,Ontario,1,Rural,1,Unincorporated,2018,29301,30,5000,30,47,47,80,80,167,167,5000,149.1,A,37.5,61.2,115.4,382.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
44,0,All industries,35,Ontario,1,Rural,2,Incorporated,2018,36345,30,5000,30,127,127,329,329,833,833,5000,676.7,A,72.5,213.7,536.5,1884,625.3,A,52.3,182.2,489.3,1777.5,89,51.4,B,20.2,31.5,47.2,106.5,49.3,92.4,A,72.1,85.3,91.2,94.3,7.6,B,27.9,14.7,8.8,5.7
45,0,All industries,35,Ontario,1,Rural,3,All businesses,2018,65646,30,5000,30,66,66,160,160,459,459,5000,441.2,A,45.3,105.3,274.5,1339.6,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
46,0,All industries,35,Ontario,2,Urban,1,Unincorporated,2018,261927,30,5000,30,41,41,63,63,117,117,5000,117.3,A,35,50.7,84.4,298.9,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
47,0,All industries,35,Ontario,2,Urban,2,Incorporated,2018,417675,30,5000,30,100,100,231,231,620,620,5000,555.7,A,62.5,157.3,386.2,1616.7,4.1,A,49.9,133.6,334.8,1434.1,87.4,67.6,B,12.6,23.7,51.4,182.6,36.2,87.8,A,79.8,84.9,86.7,88.7,12.2,B,20.2,15.1,13.3,11.3
48,0,All industries,35,Ontario,2,Urban,3,All businesses,2018,679602,30,5000,30,59,59,130,130,364,364,5000,386.7,A,42.2,88.5,218.1,1198,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
49,0,All industries,49,Prairies,1,Rural,1,Unincorporated,2018,25128,30,5000,30,43,43,66,66,126,126,5000,118.4,A,35.7,52.9,90.3,294.6,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
50,0,All industries,49,Prairies,1,Rural,2,Incorporated,2018,68491,30,5000,30,131,131,287,287,749,749,5000,617.3,A,76.6,199.3,472.3,1721.1,569.6,A,60.1,177.5,429.6,1611.3,93.2,47.7,B,16.5,21.8,42.7,109.8,62.6,92.3,A,78.4,89,91,93.6,7.7,B,21.6,11,9,6.4
51,0,All industries,49,Prairies,1,Rural,3,All businesses,2018,93619,30,5000,30,77,77,192,192,530,530,5000,483.4,A,49.6,128.2,320.2,1435.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
52,0,All industries,49,Prairies,2,Urban,1,Unincorporated,2018,77504,30,5000,30,41,41,60,60,106,106,5000,105.4,A,35,49.3,78.4,258.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
53,0,All industries,49,Prairies,2,Urban,2,Incorporated,2018,212378,30,5000,30,105,105,228,228,571,571,5000,530.6,A,65,159.7,362.8,1534.9,474.4,A,52.1,137,316.5,1392.1,89.3,56.2,B,12.9,22.7,46.2,142.8,44.5,89.4,A,80.1,85.8,87.3,90.7,10.6,B,19.9,14.2,12.7,9.3
54,0,All industries,49,Prairies,2,Urban,3,All businesses,2018,289882,30,5000,30,67,67,155,155,408,408,5000,416.9,A,45.9,105.2,252.8,1263.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
55,0,All industries,46,Manitoba,1,Rural,1,Unincorporated,2018,6577,30,5000,30,44,44,73,73,153,153,5000,132.9,A,36.4,56.7,104.6,333.9,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
56,0,All industries,46,Manitoba,1,Rural,2,Incorporated,2018,9294,30,5000,30,155,155,424,424,1025,1025,5000,777.2,A,84.2,271.7,682.8,2070.2,725.2,A,58.2,235.8,633.9,1973.1,90.9,52,B,25.9,35.9,48.9,97.1,72.3,93.3,A,69.2,86.8,92.8,95.3,6.7,B,30.8,13.2,7.2,4.7
57,0,All industries,46,Manitoba,1,Rural,3,All businesses,2018,15871,30,5000,30,67,67,185,185,585,585,5000,510.2,A,45.4,114.8,335,1545.6,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
58,0,All industries,46,Manitoba,2,Urban,1,Unincorporated,2018,15910,30,5000,30,45,45,72,72,141,141,5000,134.2,A,36.7,56.8,99.8,343.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
59,0,All industries,46,Manitoba,2,Urban,2,Incorporated,2018,23722,30,5000,30,126,126,307,307,757,757,5000,652.2,A,73.2,206,490.5,1839.1,579.3,A,52.1,170.3,427.9,1666.7,86.4,72.9,B,21.1,35.6,62.6,172.4,53.5,88.8,A,71.2,82.7,87.2,90.6,11.2,B,28.8,17.3,12.8,9.4
60,0,All industries,46,Manitoba,2,Urban,3,All businesses,2018,39632,30,5000,30,66,66,161,161,451,451,5000,444.2,A,45.4,104.7,272.5,1354.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
61,0,All industries,47,Saskatchewan,1,Rural,1,Unincorporated,2018,7249,30,5000,30,42,42,65,65,125,125,5000,118.2,A,35.6,52.4,89.8,295,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
62,0,All industries,47,Saskatchewan,1,Rural,2,Incorporated,2018,16849,30,5000,30,153,153,384,384,893,893,5000,687.9,B,86.3,254.1,601.9,1809.4,632.9,B,65.3,222.1,551,1693.1,93.6,55.1,B,21,32,50.9,116.3,79.8,92,B,75.6,87.4,91.5,93.6,8,B,24.4,12.6,8.5,6.4
63,0,All industries,47,Saskatchewan,1,Rural,3,All businesses,2018,24098,30,5000,30,77,77,216,216,629,629,5000,516.5,B,48.9,134.9,383.9,1498.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
64,0,All industries,47,Saskatchewan,2,Urban,1,Unincorporated,2018,12269,30,5000,30,42,42,64,64,114,114,5000,111.6,A,35.5,51.8,84,275,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
65,0,All industries,47,Saskatchewan,2,Urban,2,Incorporated,2018,24637,30,5000,30,129,129,296,296,715,715,5000,615.5,A,74.5,202.1,465.1,1720.1,544.4,A,53.7,165.9,407.6,1550.3,87.1,71.1,B,20.9,36.2,57.5,169.8,57.3,88.5,A,72,82.1,87.6,90.1,11.5,B,28,17.9,12.4,9.9
66,0,All industries,47,Saskatchewan,2,Urban,3,All businesses,2018,36906,30,5000,30,67,67,168,168,469,469,5000,448,A,45.6,109.3,285.8,1351.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
67,0,All industries,48,Alberta,1,Rural,1,Unincorporated,2018,11302,30,5000,30,42,42,63,63,116,116,5000,110.1,A,35.4,51.5,84.2,269.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
68,0,All industries,48,Alberta,1,Rural,2,Incorporated,2018,42348,30,5000,30,121,121,245,245,615,615,5000,554.2,A,72.6,176.7,385.4,1582,510.3,A,59,159.4,350.5,1472.4,93.6,43.8,B,13.6,17.2,34.9,109.7,53.6,92.1,A,81.3,90.2,90.9,93.1,7.9,B,18.7,9.8,9.1,6.9
69,0,All industries,48,Alberta,1,Rural,3,All businesses,2018,53650,30,5000,30,81,81,186,186,470,470,5000,460.6,A,51.4,129.6,293.1,1368.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
70,0,All industries,48,Alberta,2,Urban,1,Unincorporated,2018,49325,30,5000,30,40,40,56,56,96,96,5000,94.6,A,34.6,47.1,71.8,224.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
