,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,Total revenue,Sales of goods and services* ( percent of total revenue),Cost of sales (direct expenses) (%),Operating expenses (indirect expenses) (%),Total expenses,Cost of sales (direct expenses),Operating expenses (indirect expenses),Net Profit/Loss,Total assets,Total current assets,Total liabilities,Total current liabilities,Total equity,Debt to equity ratio (times),Current debt to equity (%),Revenue to equity ratio (times),Net profit to equity (%),Gross margin (%),Percent of profitable businesses
178,11,"Agriculture, forestry, fishing and hunting",63.0,Territories,1.0,Rural,2.0,Incorporated,2017.0,7.0,675.8,97.4,40.9,58.3,670.6,276.6,394.0,5.2,427.0,298.2,335.5,257.8,91.5,3.7,281.8,7.4,5.7,58.0,
179,11,"Agriculture, forestry, fishing and hunting",63.0,Territories,1.0,Rural,3.0,All businesses,2017.0,50.0,162.9,,26.7,42.6,112.9,43.5,69.3,50.1,,,,,,,,,,73.3,88.0
181,11,"Agriculture, forestry, fishing and hunting",63.0,Territories,2.0,Urban,2.0,Incorporated,2017.0,13.0,532.7,70.4,14.5,83.4,521.4,77.4,444.1,11.2,1966.5,499.9,1750.0,534.8,216.5,8.1,247.0,2.5,5.2,79.4,
182,11,"Agriculture, forestry, fishing and hunting",63.0,Territories,2.0,Urban,3.0,All businesses,2017.0,25.0,324.7,,14.1,81.1,309.0,45.7,263.3,15.6,,,,,,,,,,85.9,68.0
184,11,"Agriculture, forestry, fishing and hunting",60.0,Yukon,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
185,11,"Agriculture, forestry, fishing and hunting",60.0,Yukon,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
187,11,"Agriculture, forestry, fishing and hunting",60.0,Yukon,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
188,11,"Agriculture, forestry, fishing and hunting",60.0,Yukon,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,71.4
190,11,"Agriculture, forestry, fishing and hunting",61.0,Nordwest Territories,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
191,11,"Agriculture, forestry, fishing and hunting",61.0,Nordwest Territories,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,71.4
193,11,"Agriculture, forestry, fishing and hunting",61.0,Nordwest Territories,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
194,11,"Agriculture, forestry, fishing and hunting",61.0,Nordwest Territories,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
196,11,"Agriculture, forestry, fishing and hunting",62.0,Nunavut,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
197,11,"Agriculture, forestry, fishing and hunting",62.0,Nunavut,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,100.0
199,111,Crop production,0.0,Canada,1.0,Rural,2.0,Incorporated,2017.0,18024.0,870.1,91.4,1.8,112.9,997.8,15.6,982.2,-127.7,2554.3,867.9,1209.8,418.9,1344.5,0.9,31.2,0.6,-9.5,98.0,
200,111,Crop production,0.0,Canada,1.0,Rural,3.0,All businesses,2017.0,18024.0,870.1,,1.8,112.9,997.8,15.6,982.2,-127.7,,,,,,,,,,98.2,37.0
202,111,Crop production,0.0,Canada,2.0,Urban,2.0,Incorporated,2017.0,7531.0,809.2,91.1,5.6,107.7,916.7,45.6,871.1,-107.5,2334.9,681.3,1295.1,450.5,1039.8,1.2,43.3,0.8,-10.3,93.8,
203,111,Crop production,0.0,Canada,2.0,Urban,3.0,All businesses,2017.0,7531.0,809.2,,5.6,107.7,916.7,45.6,871.1,-107.5,,,,,,,,,,94.4,40.3
205,111,Crop production,15.0,Altantic,1.0,Rural,2.0,Incorporated,2017.0,613.0,982.8,94.5,4.5,110.6,1131.1,43.9,1087.2,-148.3,2259.4,703.5,1314.6,556.8,944.7,1.4,58.9,1.0,-15.7,95.3,
206,111,Crop production,15.0,Altantic,1.0,Rural,3.0,All businesses,2017.0,613.0,982.8,,4.5,110.6,1131.1,43.9,1087.2,-148.3,,,,,,,,,,95.5,35.7
208,111,Crop production,15.0,Altantic,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
209,111,Crop production,15.0,Altantic,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,39.6
211,111,Crop production,10.0,Newfoundland and Labrador,1.0,Rural,2.0,Incorporated,2017.0,30.0,344.3,86.9,18.4,90.1,373.6,63.4,310.2,-29.4,463.8,173.1,386.4,103.0,77.4,5.0,133.1,4.4,-37.9,78.8,
