ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,237,Heavy and civil engineering construction,0,Canada,1,Rural,2,Incorporated,2018,243,5000,20000,5000,6156,6156,8154,8154,12000,12000,20000,9594.3,A,5552.2,7057.4,10071.5,15696.1,9472.6,A,5434.1,7042.5,9794.8,15619,99.6,121.7,B,118.1,14.9,276.7,77.1,59.7,98.7,A,97.9,99.8,97.3,99.5,1.3,B,2.1,0.2,2.7,0.5
32,237,Heavy and civil engineering construction,0,Canada,2,Urban,2,Incorporated,2018,1086,5000,20000,5000,6450,6450,8556,8556,12000,12000,20000,9574.1,A,5727.6,7415.9,9992.9,15160.2,8769.3,A,5119.2,6770.8,9291.1,13895.9,95.8,804.9,A,608.3,645,701.8,1264.3,60.5,91.6,A,89.4,91.3,93,91.7,8.4,A,10.6,8.7,7,8.3
33,238,Specialty trade contractors,0,Canada,1,Rural,2,Incorporated,2018,396,5000,20000,5000,5848,5848,7316,7316,9864,9864,20000,8452.3,A,5389.3,6573.7,8483,13363.1,8388.8,A,5290.9,6526.1,8418.9,13319.1,99.7,63.5,B,98.4,47.6,64.1,43.9,54.5,99.2,A,98.2,99.3,99.2,99.7,0.8,B,1.8,0.7,0.8,0.3
34,238,Specialty trade contractors,0,Canada,2,Urban,2,Incorporated,2018,3672,5000,20000,5000,6127,6127,7833,7833,11000,11000,20000,9110.8,A,5531.9,6945.9,9312.4,14652.8,9036,A,5480.5,6877.9,9236.2,14549.5,99.8,74.7,A,51.4,68,76.2,103.4,44.6,99.2,A,99.1,99,99.2,99.3,0.8,A,0.9,1,0.8,0.7
35,31-33,Manufacturing,0,Canada,1,Rural,2,Incorporated,2018,842,5000,20000,5000,6391,6391,8947,8947,12000,12000,20000,9782.4,A,5663.9,7561.6,10618.5,15285.8,9634.8,A,5607.2,7441,10369.1,15122,99.6,147.6,A,56.7,120.6,249.3,163.8,65.1,98.5,A,99,98.4,97.7,98.9,1.5,A,1,1.6,2.3,1.1
36,31-33,Manufacturing,0,Canada,2,Urban,2,Incorporated,2018,4883,5000,20000,5000,6550,6550,8738,8738,12000,12000,20000,9872.7,A,5730,7584.4,10389.6,15786.7,9738.6,A,5655.9,7464.8,10225.9,15607.9,99.8,134,A,74.1,119.6,163.7,178.8,53.2,98.6,A,98.7,98.4,98.4,98.9,1.4,A,1.3,1.6,1.6,1.1
37,311,Food manufacturing,0,Canada,1,Rural,2,Incorporated,2018,148,5000,20000,5000,7218,7218,9669,9669,13000,13000,20000,10430.6,A,6046,8487.4,11274.6,15914.5,10308.7,A,6007.9,8394.4,10969.2,15863.3,100,121.9,B,38.1,93,305.4,51.2,64.2,98.8,A,99.4,98.9,97.3,99.7,1.2,B,0.6,1.1,2.7,0.3
38,311,Food manufacturing,0,Canada,2,Urban,2,Incorporated,2018,399,5000,20000,5000,6664,6664,8613,8613,12000,12000,20000,9893.5,A,5813.7,7674,10157.4,15929.1,9739.4,A,5727.4,7644.7,10080.5,15504.9,99.5,154.2,B,86.3,29.3,76.9,424.1,50.6,98.4,A,98.5,99.6,99.2,97.3,1.6,B,1.5,0.4,0.8,2.7
39,312,Beverage and tobacco product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,10,5000,20000,5000,X,X,8888,8888,X,X,20000,8582.7,A,X,X,X,X,7448.2,A,X,X,X,X,100,1134.6,A,X,X,X,X,80,86.8,A,X,X,X,X,13.2,A,X,X,X,X
40,312,Beverage and tobacco product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,60,5000,20000,5000,6531,6531,8148,8148,11000,11000,20000,9368.8,A,5611.6,7067.8,9690.3,15105.6,9104.7,A,5565.6,6891.8,9204.5,14757.1,100,264.1,A,46,176,485.8,348.5,51.7,97.2,A,99.2,97.5,95,97.7,2.8,A,0.8,2.5,5,2.3
41,313,Textile mills,0,Canada,1,Rural,2,Incorporated,2018,7,5000,20000,5000,X,X,8265,8265,X,X,20000,9981.9,A,X,X,X,X,9913.5,A,X,X,X,X,100,68.3,A,X,X,X,X,85.7,99.3,A,X,X,X,X,0.7,A,X,X,X,X
42,313,Textile mills,0,Canada,2,Urban,2,Incorporated,2018,22,5000,20000,5000,6134,6134,8599,8599,13000,13000,20000,10195.2,A,5592.2,7641.4,12042.8,15504.5,9636.9,A,5564.1,7590.1,9984,15409.4,95.5,558.3,A,28.1,51.4,2058.8,95.1,54.5,94.5,A,99.5,99.3,82.9,99.4,5.5,A,0.5,0.7,17.1,0.6
43,314,Textile product mills,0,Canada,1,Rural,2,Incorporated,2018,5,5000,20000,5000,X,X,X,X,X,X,20000,8491,A,X,X,X,X,8459.9,A,X,X,X,X,100,31.1,A,X,X,X,X,60,99.6,A,X,X,X,X,0.4,A,X,X,X,X
44,314,Textile product mills,0,Canada,2,Urban,2,Incorporated,2018,45,5000,20000,5000,7138,7138,8849,8849,11000,11000,20000,9915.6,A,6202,8141.7,10231.1,15087.7,9746.4,A,6194,8096.1,9794.4,14900.9,100,169.3,A,8,45.6,436.7,186.8,53.3,98.3,A,99.9,99.4,95.7,98.8,1.7,A,0.1,0.6,4.3,1.2
45,315,Clothing manufacturing,0,Canada,1,Rural,2,Incorporated,2018,9,5000,20000,5000,X,X,6575,6575,X,X,20000,8402.9,A,X,X,X,X,7602.2,A,X,X,X,X,88.9,800.6,A,X,X,X,X,88.9,90.5,A,X,X,X,X,9.5,A,X,X,X,X
46,315,Clothing manufacturing,0,Canada,2,Urban,2,Incorporated,2018,65,5000,20000,5000,6691,6691,8726,8726,12000,12000,20000,9699.4,A,6002.4,7311.4,10451.1,15032.8,9545.1,A,5992.7,7307.1,10324.5,14556.2,100,154.3,A,9.7,4.3,126.6,476.6,32.3,98.4,A,99.8,99.9,98.8,96.8,1.6,A,0.2,0.1,1.2,3.2
47,316,Leather and allied product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,75,X,A,X,X,X,X,X,A,X,X,X,X
