ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,314,Textile product mills,0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,100,X,A,X,X,X,X,X,A,X,X,X,X
44,314,Textile product mills,0,Canada,2,Urban,2,Incorporated,2017,38,5000,20000,5000,6611,6611,8658,8658,11000,11000,20000,9646.2,A,5861.9,7796.2,10097.5,14829,9576.1,A,5803.5,7779,10096,14626.1,100,70,A,58.4,17.3,1.5,202.8,42.1,99.3,A,99,99.8,100,98.6,0.7,A,1,0.2,0,1.4
45,315,Clothing manufacturing,0,Canada,1,Rural,2,Incorporated,2017,8,5000,20000,5000,X,X,6566,6566,X,X,20000,8275.4,A,X,X,X,X,8158.6,A,X,X,X,X,100,116.8,A,X,X,X,X,100,98.6,A,X,X,X,X,1.4,A,X,X,X,X
46,315,Clothing manufacturing,0,Canada,2,Urban,2,Incorporated,2017,59,5000,20000,5000,6300,6300,8725,8725,12000,12000,20000,9314.7,A,5642.3,7383.9,9924.1,14308.4,9270.8,A,5597.2,7363.3,9894.4,14228.4,100,43.9,A,45.1,20.7,29.7,79.9,40.7,99.5,A,99.2,99.7,99.7,99.4,0.5,A,0.8,0.3,0.3,0.6
47,316,Leather and allied product manufacturing,0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,75,X,A,X,X,X,X,X,A,X,X,X,X
48,316,Leather and allied product manufacturing,0,Canada,2,Urban,2,Incorporated,2017,11,5000,20000,5000,X,X,7449,7449,X,X,20000,10647.8,A,X,X,X,X,10640.4,A,X,X,X,X,100,7.4,A,X,X,X,X,45.5,99.9,A,X,X,X,X,0.1,A,X,X,X,X
49,321,Wood product manufacturing,0,Canada,1,Rural,2,Incorporated,2017,139,5000,20000,5000,6133,6133,8525,8525,13000,13000,20000,10025,A,5563.8,7061.8,11011.4,16462.9,9882.7,A,5523.4,6585.4,10995.2,16426.8,99.3,142.3,A,40.4,476.4,16.3,36.1,66.2,98.6,A,99.3,93.3,99.9,99.8,1.4,A,0.7,6.7,0.1,0.2
50,321,Wood product manufacturing,0,Canada,2,Urban,2,Incorporated,2017,265,5000,20000,5000,6426,6426,8559,8559,12000,12000,20000,9675.6,A,5684.4,7420,10178.5,15419.5,9607.4,A,5666.7,7347.4,10105.7,15309.9,100,68.2,A,17.7,72.6,72.8,109.6,55.5,99.3,A,99.7,99,99.3,99.3,0.7,A,0.3,1,0.7,0.7
51,322,Paper manufacturing,0,Canada,1,Rural,2,Incorporated,2017,8,5000,20000,5000,X,X,7989,7989,X,X,20000,12117.9,A,X,X,X,X,12112.2,A,X,X,X,X,100,5.7,A,X,X,X,X,25,100,A,X,X,X,X,0,A,X,X,X,X
52,322,Paper manufacturing,0,Canada,2,Urban,2,Incorporated,2017,70,5000,20000,5000,6948,6948,9520,9520,14000,14000,20000,10340.9,A,6094.5,8160.2,11059.8,16048.9,10300.8,A,6006.7,8146.1,11050.6,15999.8,100,40.1,A,87.8,14.1,9.2,49.1,48.6,99.6,A,98.6,99.8,99.9,99.7,0.4,A,1.4,0.2,0.1,0.3
53,323,Printing and related support activities,0,Canada,1,Rural,2,Incorporated,2017,6,5000,20000,5000,X,X,X,X,X,X,20000,9220,A,X,X,X,X,9105.9,A,X,X,X,X,100,114.1,A,X,X,X,X,83.3,98.8,A,X,X,X,X,1.2,A,X,X,X,X
54,323,Printing and related support activities,0,Canada,2,Urban,2,Incorporated,2017,179,5000,20000,5000,6108,6108,8851,8851,12000,12000,20000,9443,A,5456.4,7449.4,10158.4,14708,9361.4,A,5433.5,7363.8,10008.1,14640,100,81.7,B,22.8,85.5,150.4,68,54.7,99.1,A,99.6,98.9,98.5,99.5,0.9,B,0.4,1.1,1.5,0.5
55,324,Petroleum and coal product manufacturing,0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,50,X,A,X,X,X,X,X,A,X,X,X,X
56,324,Petroleum and coal product manufacturing,0,Canada,2,Urban,2,Incorporated,2017,34,5000,20000,5000,7012,7012,9590,9590,12000,12000,20000,9767,A,5784.2,8479.3,10785.6,14018.9,9737.6,A,5775.7,8401.5,10776.7,13996.7,100,29.4,A,8.5,77.8,9,22.2,64.7,99.7,A,99.9,99.1,99.9,99.8,0.3,A,0.1,0.9,0.1,0.2
57,325,Chemical manufacturing,0,Canada,1,Rural,2,Incorporated,2017,24,5000,20000,5000,6001,6001,7777,7777,11000,11000,20000,9650.5,A,5591.2,6627.4,9927.8,16455.7,9064.5,A,5578.6,6580.7,9697.2,14401.3,100,586.1,A,12.5,46.7,230.6,2054.4,58.3,93.9,A,99.8,99.3,97.7,87.5,6.1,A,0.2,0.7,2.3,12.5
