ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services*,"Sales of goods and services* , quality indicator","Sales of goods and services* , first quartile","Sales of goods and services* , second quartile","Sales of goods and services* , third quartile","Sales of goods and services* , fourth quartile","Sales of goods and services*  , percent of businesses reporting",All other revenues*,"All other revenues* , quality indicator","All other revenues* , first quartile","All other revenues* , second quartile","All other revenues* , third quartile","All other revenues* , fourth quartile","All other revenues* , percent of businesses reporting",Sales of goods and services* ( percent of total revenue),"Sales of goods and services* ( percent of total revenue), quality indicator","Sales of goods and services* ( percent of total revenue), first quartile","Sales of goods and services* ( percent of total revenue), second quartile","Sales of goods and services* ( percent of total revenue), third quartile","Sales of goods and services* ( percent of total revenue), fourth quartile",All other revenues* ( percent of total revenue),"All other revenues* ( percent of total revenue), quality indicator","All other revenues* ( percent of total revenue), first quartile","All other revenues* ( percent of total revenue), second quartile","All other revenues* ( percent of total revenue), third quartile","All other revenues* ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,All industries,35,Ontario,1,Rural,3,All businesses,2017,64260,..,1,..,0.005,0.005,0.143,0.143,0.413,0.413,1,438.7,A,519.8,724,342.5,168.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
46,0,All industries,35,Ontario,2,Urban,1,Unincorporated,2017,251760,..,1,..,0.216,0.216,0.446,0.446,0.694,0.694,1,121.2,A,175.8,117,95.9,96.3,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
47,0,All industries,35,Ontario,2,Urban,2,Incorporated,2017,397174,..,1,..,-0.003,-0.003,0.074,0.074,0.289,0.289,1,560.3,A,436.8,752.5,635.7,416.2,494,A,384.7,698.3,576.7,316.4,87.7,66.2,B,52.1,54.2,59,99.7,36.3,88.2,A,88.1,92.8,90.7,76,11.8,B,11.9,7.2,9.3,24
48,0,All industries,35,Ontario,2,Urban,3,All businesses,2017,648934,..,1,..,0.019,0.019,0.194,0.194,0.513,0.513,1,389.9,A,464.4,616.8,281.3,197.2,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
49,0,All industries,49,Prairies,1,Rural,1,Unincorporated,2017,25046,..,1,..,0.156,0.156,0.412,0.412,0.729,0.729,1,119.4,A,192.9,135.6,81.3,67.8,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
50,0,All industries,49,Prairies,1,Rural,2,Incorporated,2017,68740,..,1,..,-0.082,-0.082,0.059,0.059,0.277,0.277,1,615.2,A,677.7,764.6,665.1,353.4,569.2,A,627.8,726.8,630.1,292,93.7,46,B,49.9,37.8,35,61.4,62.3,92.5,A,92.6,95.1,94.7,82.6,7.5,B,7.4,4.9,5.3,17.4
51,0,All industries,49,Prairies,1,Rural,3,All businesses,2017,93786,..,1,..,-0.012,-0.012,0.125,0.125,0.422,0.422,1,482.8,A,640.1,696.1,407.1,188,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
52,0,All industries,49,Prairies,2,Urban,1,Unincorporated,2017,76211,..,1,..,0.237,0.237,0.495,0.495,0.753,0.753,1,106.6,A,156.8,99.1,80,90.5,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
53,0,All industries,49,Prairies,2,Urban,2,Incorporated,2017,206050,..,1,..,-0.004,-0.004,0.12,0.12,0.419,0.419,1,529.2,A,500.9,778.9,507,329.8,474.3,A,453.1,732.3,461.2,250.6,89.6,54.9,B,47.8,46.6,45.8,79.2,44.6,89.6,A,90.4,94,91,76,10.4,B,9.6,6,9,24
54,0,All industries,49,Prairies,2,Urban,3,All businesses,2017,282261,..,1,..,0.013,0.013,0.212,0.212,0.552,0.552,1,415.1,A,500.3,652,299,209,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
55,0,All industries,46,Manitoba,1,Rural,1,Unincorporated,2017,6493,..,1,..,0.134,0.134,0.347,0.347,0.654,0.654,1,134.9,A,220.6,154.7,95.7,68.4,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
56,0,All industries,46,Manitoba,1,Rural,2,Incorporated,2017,9155,..,1,..,-0.071,-0.071,0.028,0.028,0.168,0.168,1,770.1,A,809,850.5,919.4,501.5,719.6,A,761.2,808,881.2,428,91.3,50.5,B,47.8,42.5,38.2,73.5,72.5,93.4,A,94.1,95,95.8,85.3,6.6,B,5.9,5,4.2,14.7
57,0,All industries,46,Manitoba,1,Rural,3,All businesses,2017,15648,..,1,..,-0.009,-0.009,0.119,0.119,0.4,0.4,1,506.5,A,727.8,748.6,403.8,145.9,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
58,0,All industries,46,Manitoba,2,Urban,1,Unincorporated,2017,15865,..,1,..,0.196,0.196,0.451,0.451,0.723,0.723,1,135,A,212.4,143.4,91,93.1,..,,..,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..
59,0,All industries,46,Manitoba,2,Urban,2,Incorporated,2017,23040,..,1,..,-0.007,-0.007,0.072,0.072,0.296,0.296,1,650.1,A,545.5,889,741.6,424.4,580.5,A,485.7,821.8,686.6,328.1,86.9,69.6,B,59.7,67.3,55,96.4,53.6,89.3,A,89.1,92.4,92.6,77.3,10.7,B,10.9,7.6,7.4,22.7
