"Small Business Profiles :  Financial ratios,  unincorporated and total businesses, Canada, regions and provinces/territories, 2017",,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $30,000 to $5,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Interest coverage ratio (times),"Interest coverage ratio (times), first quartile","Interest coverage ratio (times), second quartile","Interest coverage ratio (times), third quartile","Interest coverage ratio (times), fourth quartile",Gross margin (%),"Gross margin (%), first quartile","Gross margin (%), second quartile","Gross margin (%), third quartile","Gross margin (%), fourth quartile"
81,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,2,Urban,1,Unincorporated,2017,13.4,5.4,9.3,17,38.7,97.5,90.4,99.7,100,100
82,11,"Agriculture, forestry, fishing and hunting",11,Prince Edward Island,2,Urban,3,All businesses,2017,-0.1,-7.6,2.1,11.9,21.7,93.3,94.3,84.7,99.4,100
83,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,1,Rural,1,Unincorporated,2017,45.7,13.8,36.2,132.6,15773.9,98,95,99.8,99.9,100
84,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,1,Rural,3,All businesses,2017,9.7,-4.4,14.1,38.5,288.1,92.2,85.5,96.1,98.6,99.9
85,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,2,Urban,1,Unincorporated,2017,37.6,8.3,33.1,71.9,376,98.4,94.3,99.9,100,100
86,11,"Agriculture, forestry, fishing and hunting",12,Nova Scotia,2,Urban,3,All businesses,2017,3,-3.2,12.6,45.7,118.1,92.2,90.2,88.9,99.5,99.9
87,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,1,Rural,1,Unincorporated,2017,41.3,7.1,27.3,72.5,798.5,96.9,88.8,99.3,99.9,100
88,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,1,Rural,3,All businesses,2017,8.2,-4,8.5,50.2,128.8,91,88.6,87.5,94.5,99
89,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,2,Urban,1,Unincorporated,2017,19.3,2.1,13.3,37.9,130,90.1,78.2,92.1,98.4,99.6
90,11,"Agriculture, forestry, fishing and hunting",13,New Brunswick,2,Urban,3,All businesses,2017,3.8,-7.2,4.1,13.9,81.1,81.1,92.8,62.9,90.6,97.6
91,11,"Agriculture, forestry, fishing and hunting",24,Québec,1,Rural,1,Unincorporated,2017,22.6,2.4,17.3,26.9,88.8,91.6,73.3,93.3,99,99.7
92,11,"Agriculture, forestry, fishing and hunting",24,Québec,1,Rural,3,All businesses,2017,-1.6,-10.2,-1.6,4.2,23.3,94.8,99.2,94.6,88.5,97.1
93,11,"Agriculture, forestry, fishing and hunting",24,Québec,2,Urban,1,Unincorporated,2017,16.6,-1,13.8,43.8,186.7,71,47.1,68.3,87.4,97.9
94,11,"Agriculture, forestry, fishing and hunting",24,Québec,2,Urban,3,All businesses,2017,-2.5,-11.7,-1.7,5,21.9,91.8,99,93.1,81.3,94.7
95,11,"Agriculture, forestry, fishing and hunting",35,Ontario,1,Rural,1,Unincorporated,2017,12.5,-0.7,9.2,20.9,100.8,76.3,58.9,78.1,85.1,96.4
96,11,"Agriculture, forestry, fishing and hunting",35,Ontario,1,Rural,3,All businesses,2017,-2.6,-9.5,-2.8,1.3,14.7,94.4,98.7,97.6,87.1,92.7
97,11,"Agriculture, forestry, fishing and hunting",35,Ontario,2,Urban,1,Unincorporated,2017,14.9,-4.1,18.5,33,230.9,63.7,45.5,59,85.5,98.2
98,11,"Agriculture, forestry, fishing and hunting",35,Ontario,2,Urban,3,All businesses,2017,-3,-11.7,-3.3,3.9,27.9,91.6,98.2,95.3,79,93.5
99,11,"Agriculture, forestry, fishing and hunting",49,Prairies,1,Rural,1,Unincorporated,2017,16.1,0.4,12.6,42.3,546.8,80.7,66.9,84,95.5,99.8
100,11,"Agriculture, forestry, fishing and hunting",49,Prairies,1,Rural,3,All businesses,2017,-4,-13.2,-4.8,2.1,20.3,97.8,99.6,99.1,94.3,98.4
101,11,"Agriculture, forestry, fishing and hunting",49,Prairies,2,Urban,1,Unincorporated,2017,24,-0.2,20.2,83.6,820.2,78.3,57.5,80.1,94.1,99.8
